unique_id,indicator_id,name,measure,measure_info,geo_type_name,geo_join_id,geo_place_name,time_period,start_date,data_value,year,month,quarter,indicator_category
877029,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,211,Williamsburg - Bushwick,Summer 2023,2023-06-01,12.91683936,2023,6,2,Air Quality Indicator
874843,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,408,Hillcrest and Fresh Meadows (CD8),Summer 2023,2023-06-01,8.651387801,2023,6,2,Air Quality Indicator
878184,386,Ozone (O3),Mean,ppb,UHF34,403,Flushing - Clearview,Summer 2023,2023-06-01,36.69427293,2023,6,2,Air Quality Indicator
877173,375,Nitrogen dioxide (NO2),Mean,ppb,CD,304,Bushwick (CD4),Summer 2023,2023-06-01,12.87565067,2023,6,2,Air Quality Indicator
878232,386,Ozone (O3),Mean,ppb,UHF42,209,Bensonhurst - Bay Ridge,Summer 2023,2023-06-01,37.30085065,2023,6,2,Air Quality Indicator
874386,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,208,Canarsie - Flatlands,Summer 2023,2023-06-01,8.481373961,2023,6,2,Air Quality Indicator
877224,375,Nitrogen dioxide (NO2),Mean,ppb,CD,403,Jackson Heights (CD3),Summer 2023,2023-06-01,14.44028402,2023,6,2,Air Quality Indicator
874443,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,407,Southwest Queens,Summer 2023,2023-06-01,8.613922725,2023,6,2,Air Quality Indicator
876951,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,403,Flushing - Clearview,Summer 2023,2023-06-01,11.20188456,2023,6,2,Air Quality Indicator
874828,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,403,Jackson Heights (CD3),Summer 2023,2023-06-01,8.947893443,2023,6,2,Air Quality Indicator
874602,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,205,Fordham and University Heights (CD5),Summer 2023,2023-06-01,9.294695775,2023,6,2,Air Quality Indicator
878214,386,Ozone (O3),Mean,ppb,UHF42,406,Fresh Meadows,Summer 2023,2023-06-01,36.91926086,2023,6,2,Air Quality Indicator
874493,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,201,Mott Haven and Melrose (CD1),Summer 2023,2023-06-01,9.493704165,2023,6,2,Air Quality Indicator
878235,386,Ozone (O3),Mean,ppb,UHF42,206,Borough Park,Summer 2023,2023-06-01,37.40360507,2023,6,2,Air Quality Indicator
874589,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,301,Washington Heights,Summer 2023,2023-06-01,9.349912733,2023,6,2,Air Quality Indicator
874377,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,211,Williamsburg - Bushwick,Summer 2023,2023-06-01,9.266873894,2023,6,2,Air Quality Indicator
